Codigo,Cargo,Ano,Pergunta,Opcao1,Opcao2,Opcao3,Opcao4,Opcao5,Organizadora,Gabarito,Materia,Assunto1,Assunto2,Assunto3
330,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"<p>O segmento inicial de nosso Hino Nacional diz o seguinte: </p><p>Ouviram do Ipiranga as margens pl&aacute;cidas <br />De um povo her&oacute;ico o brado retumbante</p><p> Se colocados na ordem direta, os termos desses dois versos estariam assim dispostos:</p>",As margens plácidas do Ipiranga ouviram O brado retumbante de um povo heróico;,As margens plácidas ouviram do Ipiranga O heróico brado retumbante de um povo;,As margens plácidas do Ipiranga ouviram O heróico brado retumbante de um povo;,Do Ipiranga as margens plácidas ouviram O brado retumbante de um povo heróico;,Ouviram as margens plácidas do Ipiranga De um povo o heróico brado retumbante.,NCE-UFRJ,A,Português,Vozes do verbo,,
331,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"<p>Num pequeno texto distribu&iacute;do por moradores de um condom&iacute;nio da Zona Sul do Rio de Janeiro apareciam as seguintes frases:</p><p> - &quot;os cond&ocirc;minos cujas reclama&ccedil;&otilde;es o s&iacute;ndico n&atilde;o deu aten&ccedil;&atilde;o...&quot; </p><p>- &quot;os itens que n&atilde;o foram discutidos os pontos principais...&quot; </p><p>Sobre essas frases pode-se afirmar, em termos de corre&ccedil;&atilde;o gramatical, o seguinte:</p>",as duas frases apresentam perfeita estruturação gramatical;,as duas frases apresentam o mesmo tipo de erro gramatical;,só a primeira frase apresenta estrutura gramatical inadequada;,só a segunda frase apresenta estrutura gramatical inadequada;,as duas frases apresentam erros gramaticais de tipos diferentes.,NCE-UFRJ,B,Português,Concordância nominal e verbal,Regência nominal e verbal,Emprego das classes de palavras
332,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"O manifesto do Partido Comunista dizia: &quot;Proletários de todo o mundo, uni-vos!&quot;; se essa mesma frase fosse reescrita com tratamento de &quot;vocês&quot; em lugar de &quot;vós&quot;, a forma verbal do imperativo adequada seria:",unem-se;,unam-se;,unem-nos;,unem-vos;,une-se.,NCE-UFRJ,B,Português,"Pronomes: emprego, formas de tratamento e colocação",,
334,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,A língua portuguesa e os conhecimentos matemáticos nem sempre estão de acordo. A frase abaixo em que a concordância verbal contraria a lógica matemática é:,50% da torcida brasileira gostaram da seleção;,mais de três jornalistas participaram da entrevista;,menos de dois turistas deixaram de participar do passeio;,são 16 de outubro;,participaram do congresso um e outro professor.,NCE-UFRJ,C,Português,Concordância nominal e verbal,,
335,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"&quot;-Senhor Presidente, Vossa Excelência não me tem permitido usar a palavra! - Senhor Deputado, Vossa Excelência poderá falar após dois outros colegas!&quot;. Esse diálogo, ouvido numa das CPIs do Congresso, mostra:",a concordância verbal errada com &quot;Vossa Excelência&quot;;,a má colocação de pronomes pessoais oblíquos;,a mistura indevida de &quot;Senhor&quot; com &quot;Vossa Excelência&quot;;,o uso inadequado do tratamento &quot;Vossa Excelência&quot; para deputado;,o emprego adequado da norma culta da língua.,NCE-UFRJ,E,Português,"Pronomes: emprego, formas de tratamento e colocação",,
336,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"<p>Num relat&oacute;rio de um seguran&ccedil;a sobre um incidente ocorrido na entrada de um grande centro comercial estava escrito o seguinte: </p><p>Tudo aconteceu a partir do<br />momento que chegaram dois<br /> homens com dois altos-falantes<br /> e come&ccedil;aram a fazer propaganda<br /> de um show na porta do pr&eacute;dio.<br /> Ora, segundo as normas, &eacute;<br /> proibido, ap&oacute;s as 22h, n&atilde;o fazer<br /> barulho neste lugar e, porisso,<br /> tivemos que expulsar eles. </p><p>H&aacute; muitos problemas no uso da norma culta por parte do seguran&ccedil;a; a alternativa abaixo que N&Atilde;O indica corretamente um problema &eacute;:</p>",a forma plural &quot;altos-falantes&quot;;,a grafia de &quot;porisso&quot;;,a ausência da preposição &quot;em&quot; antes do pronome relativo &quot;que&quot;;,a repetição do numeral cardinal &quot;dois&quot;;,o emprego menos adequado de &quot;eles&quot; como objeto direto.,NCE-UFRJ,D,Português,Flexão nominal e verbal,Ortografia e Semântica,
337,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,Nesse mesmo texto da questão 8 há uma incoerência flagrante no seguinte segmento:,Tudo aconteceu a partir do momento;,chegaram dois homens com dois altos-falantes;,começaram a fazer propaganda de um show na porta do prédio;,"é proibido, após as 22h, não fazer barulho neste lugar;",tivemos que expulsar eles.,NCE-UFRJ,D,Português,Coesão e coerência,,
341,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Uma coluna do jornal <i>Lance </i>dizia o seguinte: &quot;Isto só será possível se o clube transformar-se em empresa, o presidente do clube trabalhar por isso e o torcedor reaver a confiança no time&quot;. O erro gramatical presente nesse segmento de texto é:",o emprego de &quot;isso&quot; por &quot;isto&quot;;,a não repetição da conjunção &quot;se&quot;;,o emprego de &quot;reaver&quot; por &quot;reouver&quot;;,a má colocação do advérbio &quot;só&quot;;,a grafia &quot;presidente&quot; por &quot;Presidente&quot;.,NCE-UFRJ,C,Português,Emprego das classes de palavras,,
343,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,A alternativa em que as duas formas da frase NÃO apresentam o mesmo significado é:,O presidente deseja ser admirado pelos eleitores O presidente deseja a admiração dos eleitores,O gerente pretende ser promovido a diretor O gerente pretende a promoção do diretor,O guarda teme ser capturado pelos traficantes O guarda teme sua captura pelos traficantes,O jogador queria ser denominado &quot;Rei&quot; O jogador queria a denominação de &quot;Rei&quot;,A rainha prefere ser amada pelos súditos A rainha prefere o amor dos súditos,NCE-UFRJ,B,Português,Significação das palavras,,
344,Profissional Básico - Especialidade - Análise de Sistemas - Suporte,2005,"Na frase &quot;Ou vai ou racha!&quot;, a conjunção OU tem o mesmo valor significativo que apresenta na seguinte frase:",O turista compreendia inglês ou francês com facilidade;,As vaias ou os aplausos não perturbaram o presidente;,O empregado faz o que deve ou perde o emprego;,"Na hora da premiação, chorava ou ria;",Morávamos no segundo ou no terceiro andar.,NCE-UFRJ,C,Português,Emprego das classes de palavras,,
